Category,Item,Qty,Unit Cost (₹),Total (₹),Vendor Options,Priority,Notes,Status,Assigned To
Actuation,ST3215 Serial Bus Servo,10,1987,19870,https://evelta.com/sts3215-7-4v-19kg-dual-axis-ttl-string-servo-motor/,High,Core actuator,,
Actuation,(30kg) ST3215 Serial Bus Servo,5,2022,10110,https://evelta.com/st3215-c018-12v-30kg-360deg-dual-shaft-ttl-servo-motor/,High,Core actuator,,
Actuation,Serial Bus Servo Driver,8,500,4000,https://thinkrobotics.com/products/serial-bus-servo-driver,High,Required,,
Compute,Raspberry Pi 5 4GB,2,12330,24660,https://robu.in/product/raspberry-pi-5-model-4gb/,High,Shared compute,,
Compute,Camera Modules / USB Cam,5,384,1920,https://robu.in/product/1-4-cmos-640x480-usb-camera-with-collapsible-cable-for-raspberry-pi-3,High,Vision,,
Compute,SD Cards (32GB+),4,1500,6000,https://robocraze.com/products/sandisk-64gb-micro-sd-sdhc-card?,Medium,Storage,,
Compute,USB Hub,2,819,1638,https://www.amazon.in/Portronics-Transfer-Compatible-Enabled-Devices/dp/B0B24W3DJZ?crid=MVKI55SW10QW&dib=eyJ2IjoiMSJ9.c2pMSAVDOxJtnHsLycfL6WHC_joe4Jqn1eM7H9cbYsmv1VnjCJR5R_0YYgNXLDhdYbSg8pi19GJEoHOVVrlEKP-GjcOM0k9s2v4UShhB6V5FAaPxm1bvF4kjEk5Yt23EfhpIsoXO4kn06HaWasY8huEPSOrp8hm0-2ClincE1a23RrAqNulthUj-0o9yA7KluqsPykYr8U8WeQhbyfuw6edu9ZK7WLQ46IBMokIlM3k._EtYMdau-LVmV7O8nFtEDNQLyCJ0z1UVTKEIzphaCpI&dib_tag=se&keywords=usb+hub&qid=1775071444&sprefix=usb+hu%2Caps%2C398&sr=8-20,Low,Optional,,
Reference,Robotic Arm Frame Kit,1,5000,5000, https://amzn.in/d/0eezWFwR,Medium,Demo/fallback,,
Sensors,IMU Module,2,465,930,https://robocraze.com/products/smartelex-micro-ism330dhcx-6dof-imu-sensor?_pos=1&_sid=386adc504&_ss=r,Medium,Motion,,
Sensors,Mic Module,4,270,1080,https://robocraze.com/products/raspberry-pi-usb2-0-mini-microphone?,Low,Voice,,
Sensors,Touch,2,9,18,https://robocraze.com/products/ttp223-touch-switch-module?_pos=1&_sid=cd1a45b90&_ss=r,Low,Interaction,,
Sensors,Gesture Sensor,2,349,798,https://robocraze.com/products/apds-9960-rgb-and-gesture-sensor?_pos=1&_sid=7cc20a95c&_ss=r,Low,Interaction,,
Sensors,Relay Modules,3,917,2751,https://robocraze.com/products/5v-8-channel-ssr-module?_pos=12&_sid=0143a8dcf&_ss=r,Medium,Real-world control,,
Sensors,BME280,2,599,1198,https://robocraze.com/products/7semi-bme280-temperature-humidity-pressure-sensor-nano-breakout?_pos=1&_sid=ee7e3cd28&_ss=r,Medium,Enviormental Sense,,
